                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                  2.262,                 1.4973,                 1.0216,                0.59038,                0.43452,                0.55843,                0.19252,                 2.3728,                 1.4838,                0.94291,              0.0014195,              0.0014195,              0.0014195
                     77,                 2.4283,                 1.7066,                0.99874,                0.68282,                 0.3869,                0.49036,                0.15677,                 2.3603,                 1.5949,                0.94805,              0.0014161,              0.0014161,              0.0014161
                     78,                 2.1322,                 1.3301,                  1.017,                0.68282,                 0.3869,                0.49036,                0.15677,                 2.3603,                 1.5949,                0.94805,              0.0014128,              0.0014128,              0.0014128
                     79,                 2.4256,                 1.4887,                0.93958,                0.71608,                0.37555,                0.45847,                0.14828,                 2.5175,                 1.7733,                0.97376,              0.0014095,              0.0014095,              0.0014095
                     80,                  2.827,                 1.7279,                0.97721,                0.71608,                0.37555,                0.45847,                0.14828,                 2.5175,                 1.7733,                0.97376,              0.0014062,              0.0014062,              0.0014062
                     81,                 2.1705,                 1.3476,                0.95302,                0.67832,                 0.3869,                0.45406,                0.13663,                 2.5676,                 1.5036,                0.98268,              0.0014029,              0.0014029,              0.0014029
                     82,                 2.0521,                 1.2841,                0.96066,                0.67832,                 0.3869,                0.45406,                0.13663,                 2.5676,                 1.5036,                0.98268,              0.0013996,              0.0013996,              0.0013996
                     83,                 2.0042,                 1.2395,                0.92783,                0.67901,                0.43452,                0.39638,                0.09339,                 2.7685,                 1.4684,                 1.0389,              0.0013963,              0.0013963,              0.0013963
                     84,                 2.4302,                 1.5771,                 1.0236,                0.67901,                0.43452,                0.39638,                0.09339,                 2.7685,                 1.4684,                 1.0389,               0.001393,               0.001393,               0.001393
                     85,                 2.2088,                 1.5857,                 0.8992,                0.48164,                0.41071,                0.36517,                0.07542,                  2.802,                 1.5395,                 1.0441,              0.0013897,              0.0013897,              0.0013897
                     86,                 2.2781,                 1.6236,                  0.944,                0.48164,                0.41071,                0.36517,                0.07542,                  2.802,                 1.5395,                 1.0441,              0.0013864,              0.0013864,              0.0013864
                     87,                 2.2198,                 1.3788,                0.95858,                0.55077,                0.31548,                0.38757,                 0.0699,                 2.8522,                 1.6731,                 1.0371,              0.0013831,              0.0013831,              0.0013831
                     88,                 2.3106,                 1.6795,                 1.0025,                0.55077,                0.31548,                0.38757,                 0.0699,                 2.8522,                 1.6731,                 1.0371,              0.0013798,              0.0013798,              0.0013798
                     89,                 2.0164,                 1.2812,                0.96247,                0.32543,                0.37242,                0.30824,                0.05334,                  2.984,                 1.8314,                 1.0772,              0.0013765,              0.0013765,              0.0013765
                     90,                 2.1741,                 1.3514,                0.95608,                0.32543,                0.37242,                0.30824,                0.05334,                  2.984,                 1.8314,                 1.0772,              0.0013732,              0.0013732,              0.0013732
                     91,                 2.0392,                 1.3478,                0.99275,                0.19264,                0.39286,                0.27804,                0.04262,                 3.0838,                  2.067,                 1.1225,              0.0013699,              0.0013699,              0.0013699
                     92,                 2.4482,                 1.4203,                 0.9767,                0.19264,                0.39286,                0.27804,                0.04262,                 3.0838,                  2.067,                 1.1225,              0.0013666,              0.0013666,              0.0013666
                     93,                 2.4801,                 1.3274,                 1.0402,                0.52776,                0.32138,                0.35316,                0.08758,                  3.166,                 2.1883,                  1.131,              0.0013633,              0.0013633,              0.0013633
                     94,                 2.3012,                 1.5049,                0.94701,                0.52776,                0.32138,                0.35316,                0.08758,                  3.166,                 2.1883,                  1.131,                0.00136,                0.00136,                0.00136
                     95,                  2.367,                 1.8498,                 0.9611,                0.50908,                 0.4086,                0.39189,                0.20512,                  3.213,                 2.6931,                 1.1299,              0.0013567,              0.0013567,              0.0013567
                     96,                 2.6354,                 1.4763,                0.97587,                0.50908,                 0.4086,                0.39189,                0.20512,                  3.213,                 2.6931,                 1.1299,              0.0013534,              0.0013534,              0.0013534
                     97,                 2.1743,                 1.2682,                0.94903,                0.55285,                0.43656,                0.40048,                 0.1803,                 3.6155,                  2.491,                  1.179,              0.0013501,              0.0013501,              0.0013501
                     98,                 2.2792,                 1.3926,                 1.0064,                0.55285,                0.43656,                0.40048,                 0.1803,                 3.6155,                  2.491,                  1.179,              0.0013468,              0.0013468,              0.0013468
                     99,                 2.0607,                 1.1915,                 0.9365,                0.47339,                  0.375,                0.37806,                0.12211,                 3.9823,                 2.1489,                 1.2645,              0.0013435,              0.0013435,              0.0013435
                    100,                 2.1155,                 1.6597,                0.91974,                0.47339,                  0.375,                0.37806,                0.12211,                 3.9823,                 2.1489,                 1.2645,              0.0013402,              0.0013402,              0.0013402
                    101,                 2.0644,                 1.5249,                0.97319,                0.93473,                  0.375,                0.37765,                  0.135,                 3.9778,                 2.0484,                 1.3214,              0.0013369,              0.0013369,              0.0013369
                    102,                 2.0479,                 1.2091,                0.91521,                0.93473,                  0.375,                0.37765,                  0.135,                 3.9778,                 2.0484,                 1.3214,              0.0013336,              0.0013336,              0.0013336
                    103,                 2.1669,                 1.2791,                0.96564,                 0.2257,                   0.25,                0.23878,                0.07379,                 3.9514,                 2.0623,                 1.3294,              0.0013303,              0.0013303,              0.0013303
                    104,                 2.3067,                 1.3015,                0.97972,                 0.2257,                   0.25,                0.23878,                0.07379,                 3.9514,                 2.0623,                 1.3294,               0.001327,               0.001327,               0.001327
                    105,                 2.2282,                 1.2759,                0.96991,                0.59156,                0.14881,                0.21572,                0.04187,                 3.8924,                 2.1544,                 1.2758,              0.0013237,              0.0013237,              0.0013237
                    106,                 2.0696,                 1.2744,                 0.9143,                0.59156,                0.14881,                0.21572,                0.04187,                 3.8924,                 2.1544,                 1.2758,              0.0013204,              0.0013204,              0.0013204
                    107,                 2.1387,                 1.2698,                0.96291,                0.45022,                0.14881,                0.19792,                0.03561,                 3.7028,                  2.422,                 1.2101,              0.0013171,              0.0013171,              0.0013171
                    108,                 1.8328,                   1.13,                0.95614,                0.45022,                0.14881,                0.19792,                0.03561,                 3.7028,                  2.422,                 1.2101,              0.0013138,              0.0013138,              0.0013138
                    109,                 1.8668,                  1.233,                0.94902,                0.85372,                0.02381,                0.04211,                0.00903,                 3.8689,                  2.642,                  1.261,              0.0013105,              0.0013105,              0.0013105
                    110,                 2.1834,                  1.227,                0.97114,                0.85372,                0.02381,                0.04211,                0.00903,                 3.8689,                  2.642,                  1.261,              0.0013072,              0.0013072,              0.0013072
                    111,                 2.0589,                 1.2228,                0.93637,                0.04624,                0.04762,                0.04237,                0.01437,                 3.9119,                 2.4279,                 1.2747,              0.0013039,              0.0013039,              0.0013039
                    112,                 1.9368,                 1.1328,                0.92854,                0.04624,                0.04762,                0.04237,                0.01437,                 3.9119,                 2.4279,                 1.2747,              0.0013006,              0.0013006,              0.0013006
                    113,                 2.4227,                 1.4492,                0.96146,                0.94325,                0.02381,                0.05086,                0.02005,                 3.8698,                 2.4764,                  1.257,              0.0012973,              0.0012973,              0.0012973
                    114,                 2.2336,                 1.2226,                0.91128,                0.94325,                0.02381,                0.05086,                0.02005,                 3.8698,                 2.4764,                  1.257,               0.001294,               0.001294,               0.001294
                    115,                 2.1332,                 1.2688,                0.97503,                 0.1642,                0.24405,                0.12874,                0.03854,                 3.6886,                 2.2698,                 1.1859,              0.0012907,              0.0012907,              0.0012907
                    116,                 2.3991,                 1.3184,                0.93156,                 0.1642,                0.24405,                0.12874,                0.03854,                 3.6886,                 2.2698,                 1.1859,              0.0012874,              0.0012874,              0.0012874
                    117,                 2.0204,                 1.1005,                0.98354,                0.37929,                0.51953,                0.36338,                0.11519,                 2.8539,                 1.6454,                 1.0216,              0.0012841,              0.0012841,              0.0012841
                    118,                 2.2058,                 1.3579,                0.95179,                0.37929,                0.51953,                0.36338,                0.11519,                 2.8539,                 1.6454,                 1.0216,              0.0012808,              0.0012808,              0.0012808
                    119,                 2.4366,                 1.3105,                 1.0331,                0.43817,                0.31548,                0.29357,                0.09988,                 3.0183,                 1.6828,                 1.0294,              0.0012775,              0.0012775,              0.0012775
                    120,                 2.1536,                 1.1846,                0.91831,                0.43817,                0.31548,                0.29357,                0.09988,                 3.0183,                 1.6828,                 1.0294,              0.0012742,              0.0012742,              0.0012742
                    121,                 2.2433,                 1.5318,                0.93668,                0.21023,                0.24405,                0.10682,                0.03262,                 3.5444,                 2.1396,                 1.1691,              0.0012709,              0.0012709,              0.0012709
                    122,                 1.9187,                 1.1635,                0.80382,                0.21023,                0.24405,                0.10682,                0.03262,                 3.5444,                 2.1396,                 1.1691,              0.0012676,              0.0012676,              0.0012676
                    123,                 2.4039,                 1.4787,                 0.8601,                0.17362,                0.29167,                 0.1143,                0.03501,                 3.4936,                 2.3441,                 1.1761,              0.0012643,              0.0012643,              0.0012643
                    124,                 2.3416,                  1.368,                0.96364,                0.17362,                0.29167,                 0.1143,                0.03501,                 3.4936,                 2.3441,                 1.1761,               0.001261,               0.001261,               0.001261
                    125,                 2.2201,                 1.4012,                 1.0011,                0.28099,                 0.3869,                0.20144,                0.07479,                 3.0608,                 2.4645,                 1.0815,              0.0012577,              0.0012577,              0.0012577
                    126,                 2.0043,                 1.2451,                0.94205,                0.28099,                 0.3869,                0.20144,                0.07479,                 3.0608,                 2.4645,                 1.0815,              0.0012544,              0.0012544,              0.0012544
                    127,                 1.8703,                 1.1915,                0.83999,                0.30887,                0.57738,                0.35704,                0.14697,                 2.4445,                 2.7203,                0.96162,              0.0012511,              0.0012511,              0.0012511
                    128,                 1.9602,                  1.226,                0.93613,                0.30887,                0.57738,                0.35704,                0.14697,                 2.4445,                 2.7203,                0.96162,              0.0012478,              0.0012478,              0.0012478
                    129,                 2.2858,                 1.2654,                 1.0209,                0.34991,                0.57738,                0.40129,                0.18121,                 2.3638,                 2.5708,                0.95123,              0.0012445,              0.0012445,              0.0012445
                    130,                 2.1396,                 1.2656,                0.93108,                0.34991,                0.57738,                0.40129,                0.18121,                 2.3638,                 2.5708,                0.95123,              0.0012412,              0.0012412,              0.0012412
                    131,                 1.8748,                 1.1295,                0.90278,                0.36703,                0.45833,                0.39706,                0.16763,                 2.3949,                 1.8507,                0.95334,              0.0012379,              0.0012379,              0.0012379
                    132,                 2.1508,                  1.225,                0.92696,                0.36703,                0.45833,                0.39706,                0.16763,                 2.3949,                 1.8507,                0.95334,              0.0012346,              0.0012346,              0.0012346
                    133,                 1.9869,                 1.1388,                 0.9573,                0.38318,                0.38612,                0.32477,                0.10309,                 2.6278,                 1.6253,                0.97565,              0.0012313,              0.0012313,              0.0012313
                    134,                 1.6705,                 1.0116,                0.88365,                0.38318,                0.38612,                0.32477,                0.10309,                 2.6278,                 1.6253,                0.97565,               0.001228,               0.001228,               0.001228
                    135,                 1.8998,                 1.0355,                0.95191,                0.21992,                0.28058,                0.27948,                0.08818,                 2.7426,                 1.7164,                0.99855,              0.0012247,              0.0012247,              0.0012247
                    136,                  1.805,                0.97913,                0.92183,                0.21992,                0.28058,                0.27948,                0.08818,                 2.7426,                 1.7164,                0.99855,              0.0012214,              0.0012214,              0.0012214
                    137,                 2.0426,                  1.122,                0.95289,                0.79844,                0.21429,                0.26407,                 0.0858,                 2.6998,                 1.7463,                0.99699,              0.0012181,              0.0012181,              0.0012181
                    138,                 2.3588,                 1.2385,                 0.9664,                0.79844,                0.21429,                0.26407,                 0.0858,                 2.6998,                 1.7463,                0.99699,              0.0012148,              0.0012148,              0.0012148
                    139,                 2.2272,                 1.3204,                0.92714,                0.31979,                0.40455,                0.28037,                0.09868,                 2.5122,                 1.6241,                0.97476,              0.0012115,              0.0012115,              0.0012115
                    140,                 2.1269,                 1.1178,                0.89807,                0.31979,                0.40455,                0.28037,                0.09868,                 2.5122,                 1.6241,                0.97476,              0.0012082,              0.0012082,              0.0012082
                    141,                 1.9093,                 0.9706,                0.91671,                0.36971,                0.45833,                0.30617,                0.14409,                 2.3339,                 1.5329,                0.95011,              0.0012049,              0.0012049,              0.0012049
                    142,                 1.7973,                0.99024,                0.92405,                0.36971,                0.45833,                0.30617,                0.14409,                 2.3339,                 1.5329,                0.95011,              0.0012016,              0.0012016,              0.0012016
                    143,                   1.44,                 1.5558,                0.69113,                0.60822,                 0.3631,                0.42053,                0.18865,                 2.2302,                 1.4806,                0.92773,              0.0011983,              0.0011983,              0.0011983
                    144,                 2.0273,                 1.4419,                 1.0419,                0.60822,                 0.3631,                0.42053,                0.18865,                 2.2302,                 1.4806,                0.92773,               0.001195,               0.001195,               0.001195
                    145,                 2.0779,                 1.1633,                0.91931,                0.68046,                0.80952,                0.75005,                0.25753,                   2.25,                 1.3688,                0.91917,              0.0011917,              0.0011917,              0.0011917
                    146,                 2.0931,                 1.2423,                 1.0065,                0.68046,                0.80952,                0.75005,                0.25753,                   2.25,                 1.3688,                0.91917,              0.0011884,              0.0011884,              0.0011884
                    147,                 1.8891,                 1.0171,                0.93477,                0.61872,                 0.6369,                0.71389,                0.27393,                 2.1694,                 1.3793,                0.91462,              0.0011851,              0.0011851,              0.0011851
                    148,                 2.3674,                 1.3394,                0.98274,                0.61872,                 0.6369,                0.71389,                0.27393,                 2.1694,                 1.3793,                0.91462,              0.0011818,              0.0011818,              0.0011818
                    149,                  1.955,                 1.1478,                0.78936,                0.77042,                 0.6131,                0.71447,                0.28261,                 2.2281,                 1.3859,                0.93747,              0.0011785,              0.0011785,              0.0011785
                    150,                 1.6525,                0.89456,                0.92289,                0.77042,                 0.6131,                0.71447,                0.28261,                 2.2281,                 1.3859,                0.93747,              0.0011752,              0.0011752,              0.0011752
                    151,                 1.7369,                 1.0142,                0.90808,                0.53725,                0.70833,                0.61254,                0.22355,                 2.3735,                 1.5073,                0.97841,              0.0011719,              0.0011719,              0.0011719
                    152,                 1.9564,                  1.207,                 0.9353,                0.53725,                0.70833,                0.61254,                0.22355,                 2.3735,                 1.5073,                0.97841,              0.0011686,              0.0011686,              0.0011686
