               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.087774,            0.032557,             0.01632,                   0,                   0,                   0,                   0,            0.079804,             0.04369,            0.019543,           0.0088318,           0.0088318,           0.0088318
                  61,            0.078139,              0.0298,            0.015437,                   0,                   0,                   0,                   0,            0.079804,             0.04369,            0.019543,            0.008812,            0.008812,            0.008812
                  62,            0.082277,            0.031755,            0.017433,                   0,                   0,                   0,                   0,            0.079703,            0.042748,            0.020148,           0.0087922,           0.0087922,           0.0087922
                  63,            0.087915,            0.039321,            0.017662,                   0,                   0,                   0,                   0,            0.079703,            0.042748,            0.020148,           0.0087724,           0.0087724,           0.0087724
                  64,            0.077675,            0.044439,            0.017572,                   0,                   0,                   0,                   0,            0.079406,            0.043161,            0.021191,           0.0087526,           0.0087526,           0.0087526
                  65,             0.10081,            0.040092,            0.019279,                   0,                   0,                   0,                   0,            0.079406,            0.043161,            0.021191,           0.0087328,           0.0087328,           0.0087328
                  66,            0.098052,            0.035294,            0.017592,                   0,                   0,                   0,                   0,            0.076863,            0.045887,            0.020593,            0.008713,            0.008713,            0.008713
                  67,            0.097204,            0.039492,            0.016615,                   0,                   0,                   0,                   0,            0.076863,            0.045887,            0.020593,           0.0086932,           0.0086932,           0.0086932
                  68,            0.088197,            0.036417,            0.015564,           0.0016313,                0.25,           0.0015674,          0.00063072,             0.07605,            0.047112,            0.019623,           0.0086734,           0.0086734,           0.0086734
                  69,             0.11002,            0.057764,            0.021783,           0.0016313,                0.25,           0.0015674,          0.00063072,             0.07605,            0.047112,            0.019623,           0.0086536,           0.0086536,           0.0086536
                  70,            0.097312,            0.036319,            0.020915,           0.0017921,                0.25,            0.029587,           0.0047313,            0.076525,            0.046922,            0.020203,           0.0086338,           0.0086338,           0.0086338
                  71,            0.092804,            0.025385,            0.015948,           0.0017921,                0.25,            0.029587,           0.0047313,            0.076525,            0.046922,            0.020203,            0.008614,            0.008614,            0.008614
                  72,            0.097773,            0.036201,            0.019898,           0.0017301,                0.25,            0.019243,           0.0080812,            0.075349,            0.048882,            0.019519,           0.0085942,           0.0085942,           0.0085942
                  73,             0.10715,            0.039672,            0.019305,           0.0017301,                0.25,            0.019243,           0.0080812,            0.075349,            0.048882,            0.019519,           0.0085744,           0.0085744,           0.0085744
                  74,            0.098095,            0.035254,            0.017184,          0.00073638,               0.125,           0.0074857,            0.002018,            0.076496,            0.047542,            0.022406,           0.0085546,           0.0085546,           0.0085546
                  75,             0.10474,            0.039257,            0.020833,          0.00073638,               0.125,           0.0074857,            0.002018,            0.076496,            0.047542,            0.022406,           0.0085348,           0.0085348,           0.0085348
                  76,            0.086631,            0.040328,            0.016078,          0.00073099,               0.125,          0.00084229,          0.00016846,            0.075691,            0.046934,            0.022552,            0.008515,            0.008515,            0.008515
